,Zip Code,Computerized No,Office name,Address
0,10044,000100-6,Taipei Beimen Post Office(Taipei Branch 901),"No. 120, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei 10012, Taiwan ( R.O.C.)"
1,10064,000101-0,Taipei Dongmen Post Office(Taipei Branch 1),"No.163, Sec. 2, Xinyi Rd., Zhongzheng Dist., Taipei 10064, Taiwan (R.O.C.)"
2,10846,000102-3,Taipei Hanzhong Street Post Office(Taipei Branch 2),"No. 173, Hanzhong St., Wanhua Dist., Taipei 10846, Taiwan ( R.O.C.)"
3,10847,000103-7,Taipei Xiyuan Post Office(Taipei Branch 3),"No. 156, Sec. 2, Changsha St., Wanhua Dist., Taipei 10847, Taiwan (R.O.C.)"
4,10851,000104-1,Taipei Longshan Post Office(Taipei Branch 4),"No. 67, Guangjhou St., Wanhua Dist., Taipei 10851, Taiwan (R.O.C.)"
5,10075,000105-4,Taipei Nanhai Post Office(Taipei Branch 5),"No. 43, Sec. 2,Chongqing S. Rd., Zhongzheng Dist., Taipei 10075, Taiwan ( R.O.C.)"
6,10083,000106-8,Taipei Yingqiao Post Office(Taipei Branch 6),"No. 76, Xiamen St., Zhongjheng Dist., Taipei 10083, Taiwan (R.O.C.)"
7,10644,000107-1,Taipei Qingtian Post Office(Taipei Branch 7),"No. 155, Sec. 1, Heping Dist. E. Rd., Da-an Dist., Taipei 10644, Taiwan (R.O.C.)"
8,10041,000108-5,Taipei Fuxing Bridge Post Office(Taipei Branch 8),"No. 1, Sec. 1,Zhongxiao W. Rd., Zhongjheng Dist., Taipei 10041, Taiwan (R.O.C.)"
9,10444,000109-9,Taipei Zhongshan Post Office(Taipei Branch 9),"No. 142, Sec. 1, Zhongshan N. Rd., Zhongshan Dist., Taipei 10444, Taiwan (R.O.C.)"
10,10343,000110-1,Taipei Dihua St. Post Office(Taipei Branch 10),"No. 38, Sec.1,Dihua St., Datong Dist., Taipei 10343, Taiwan (R.O.C.)"
11,10356,000111-4,Taipei Yuanhuan Post Office(Taipei Branch 11),"No. 15, Sec. 2, Chongqing N. Rd., Datong Dist., Taipei 10356, Taiwan (R.O.C.)"
12,10051,000112-8,Executive Yuan Post Office(Taipei Branch 12),"No. 2, Beiping E. Rd., Zhongjheng Dist., Taipei 10051, Taiwan (R.O.C.)"
13,10091,000113-1,Taipei Gongguan Post Office(Taipei Branch 13),"B1,No.74,Sec.4,Roosevelt Rd.,Taipei 10091Taiwan(R.O.C),Exit 3, Gongguan Station,MRT Xindian Line ."
14,10048,000114-5,Academia Historica Post Office(Taipei Branch 14),"No. 168-1, Bo-ai Rd., Zhongzheng Dist., Taipei 10048, Taiwan (R.O.C.)"
15,10048,000115-9,Presidential Office Building Post Office(Taipei Branch 15),"No. 122, Sec. 1, Chongqing S. Rd., Zhongjheng Dist., Taipei 10048, Taiwan (R.O.C.)"
16,10449,000117-6,Taipei Shuanglian Post Office(Taipei Branch 17),"No. 96, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei 10449 Taiwan (R.O.C.)"
17,10566,000118-0,Taipei Songshan Post Office(Taipei Branch 18),"No. 626, Sec. 4, Bade Rd., Songshan Dist., Taipei 10566, Taiwan (R.O.C.)"
18,10048,000120-5,Taipei District Court Post Office(Taipei Branch 20),"No. 127, Bo-ai Rd., Zhongzheng Dist., Taipei 10048, Taiwan (R.O.C.)"
19,10357,000121-9,Taipei Taipei-Bridge Post Office(Taipei Branch 21),"No. 246, Minquan W. Rd., Datong Dist., Taipei 10357, Taiwan (R.O.C.)"
20,10610,000122-2,Taipei Normal University Post Office(Taipei Branch 22),"No.162, Sec. 1, Heping E. Rd., Da．an Dist., Taipei City 10610, Taiwan (R.O.C.)"
21,10617,000123-6,National Taiwan University Post Office(Taipei Branch 23),"No. 1, Sec. 4, Roosevelt Rd., Da-an Dist., Taipei 10617, Taiwan (R.O.C.)"
22,10651,000124-0,Taipei Ren-ai Rd. Post Office(Taipei Branch 24),"No. 47, Sec. 3, Ren-ai Rd., Da-an Dist., Taipei 106-51, Taiwan (R.O.C.)"
23,10051,000125-3,Legislative Yuan Post Office(Taipei Branch 25),"No. 1, Sec. 1, Jinan Rd., Zhongzheng Dist., Taipei 10051, Taiwan (R.O.C.)"
24,10682,000126-7,Taipei Xinwei Post Office(Taipei Branch 26),"No. 74, Sec. 4, Xinyi Rd., Da-an Dist., Taipei 10682, Taiwan (R.O.C.)"
25,10479,000127-1,Taipei Jianbei Post Office(Taipei Branch 27),"No. 33, Sec. 2, Jianguo N. Rd., Zhongshan Dist., Taipei 10479, Taiwan (R.O.C.)"
26,11163,000128-4,Shilin Post Office(Taipei Branch 28),"No. 162, Wenlin Rd., Shilin Dist., Taipei 11163, Taiwan (R.O.C.)"
27,11670,000129-8,Wenshan Jingmei Post Office(Taipei Branch 29),"No. 389, Sec. 6, Roosevelt Rd., Wenshan Dist., Taipei 116-70, Taiwan (R.O.C.)"
28,10084,000130-0,Taipei Guting Post Office(Taipei Branch 30),"No. 232, Sec. 2, Nanchang Rd., Zhongjheng Dist., Taipei 10084, Taiwan (R.O.C.)"
29,10869,000131-3,Taipei Dongyuan Post Office(Taipei Branch 31),"No. 148, Dongyuan St., Wanhua Dist., Taipei 10869, Taiwan (R.O.C.)"
30,10666,000132-7,Taipei Guanghua Post Office(Taipei Branch 32),"No. 7-2, Sec. 1, Xinsheng N. Rd., Da-an Dist., Taipei 10666, Taiwan (R.O.C.)"
31,10047,000133-1,Taipei Nanyang Post Office(Taipei Branch 33),"No. 8, Xinyang St., Zhongzheng Dist., Taipei 10047, Taiwan (R.O.C.)"
32,10488,000134-4,Taipei Zhonglun Post Office(Taipei Branch 34),"No. 40, Fuxing N. Rd., Zhongshan Dist., Taipei 10488, Taiwan (R.O.C.)"
33,10862,000135-8,Taipei Juguang Post Office(Taipei Branch 35),"No. 210, Juguang Rd., Wanhua Dist., Taipei 10862, Taiwan (R.O.C.)"
34,10555,000136-1,Taipei Guangfu Post Office(Taipei Branch 36),"No. 240, Sec. 3, Bade Rd., Songshan Dist., Taipei 10555, Taiwan (R.O.C.)"
35,10465,000137-5,Taipei Dazhi Post Office(Taipei Branch 37),"No. 18, Alley 14, Lane 518, Bei-an Rd., Zhongshan Dist., Taipei 10465, Taiwan (R.O.C.)"
36,10044,000139-2,Taipei Zhongnan Post Office(Taipei Branch 39),"No. 118, Sec. 1,Zhongsiao W. Rd.,Zhongjheng Dist., Taipei 10044, Taiwan ( R.O.C.)"
37,11165,000142-1,Shilin Shezi Post Office(Taipei Branch 42),"No. 150, Sec. 5, Yanping N. Rd., Shilin Dist., Taipei 11165, Taiwan (R.O.C.)"
38,10692,000143-5,Taipei Sanzhangli Post Office(Taipei Branch 43),"No. 337, Sec. 4, Sinyi Rd., Da-an Dist., Taipei 10692, Taiwan (R.O.C.)"
39,10670,000144-9,Taipei Chenggong Post Office(Taipei Branch 44),"No. 12, Alley 38, Lane 198, Sihwei Rd., Da-an Dist., Taipei 10670, Taiwan (R.O.C.)"
40,10548,000145-2,Songshan Airport Post Office(Taipei Branch 45),"No.340-9, Dunhua N. Rd., Songshan Dist., Taipei 10548, Taiwan (R.O.C.)"
41,10455,000146-6,Taipei Chang-an Post Office(Taipei Branch 46),"No. 97, Sec. 2, Chang-an E. Rd., Zhongshan Dist., Taipei 10455, Taiwan (R.O.C.)"
